0.000140,18
0.000155,19
0.000166,20
0.000176,21
0.000182,22
0.000187,23
0.000190,24
0.000191,25
0.000192,26
0.000192,27
0.000193,28
0.000196,29
0.000200,30
0.000205,31
0.000213,32
0.000223,33
0.000234,34
0.000246,35
0.000261,36
0.000279,37
0.000300,38
0.000324,39
0.000353,40
0.000390,41
0.000430,42
0.000477,43
0.000530,44
0.000587,45
0.000649,46
0.000717,47
0.000790,48
0.000872,49
0.000961,50
0.001062,51
0.001175,52
0.001302,53
0.001445,54
0.001604,55
0.001778,56
0.001967,57
0.002175,58
0.002401,59
0.002647,60
0.002909,61
0.003185,62
0.003475,63
0.003774,64
0.004085,65
0.004407,66
0.008113,67
0.008957,68
0.009874,69
0.010869,70
0.011945,71
0.013236,72
0.014654,73
0.016368,74
0.018447,75
0.020677,76
0.023612,77
0.027641,78
0.032286,79
0.037575,80
0.043838,81
0.050852,82
0.058666,83
0.067313,84
0.076832,85
0.087263,86
0.098645,87
0.111019,88
0.124413,89
0.138893,90
0.154491,91
0.170162,92
0.185534,93
0.201369,94
0.217557,95
0.234041,96
0.250693,97
0.267389,98
0.284001,99
0.301638,100
0.320365,101
0.340212,102
0.361319,103
0.383728,104
0.407519,105
0.430880,106
0.455580,107
0.481697,108
0.509311,109
1.000000,110
